109	4008	4	22.2
107	5654	8	59.35
112	838	3	5.53
199	175	4	8.47
167	1388	3	17.5
591	104	36	137.33
2988	125	5	33.67
4387	101	4	5.87
149	972	3	13.43
106	11037	5	43.23
7750	3822	3	54.45
554	102	20	20.29
2947	160	4	32.14
2840	16	5	34.4
447	280	38	412.09
104	203	27	19.73
3218	2	15	163.12
16	748	5	19.43
726	128	9	44.42
9797	122	4	37.29
1170	104	32	169.97
121	571	8	30.08
2023	157	4	28.17
1099	107	4	7.38
247	128	31	151.96
17524	14982	3	79.85
102	4597	5	13.1
2675	14	12	42.25
1244	121	3	10.43
290	159	3	7.3
101	2483	9	15.87
104	1597	30	183.85
101	1069	24	46.57
195	709	16	138.31
132	389	6	19.07
1059	102	12	15.51
1437	106	6	16.83
4597	108	4	23.22
2481	103	11	38.26
332	157	23	153.99
1357	2102	3	37
272	104	15	10.1
1282	102	7	5.41
173	2326	5	40.93
12	3504	3	33.5
9012	233	3	36.36
5012	141	3	23.29
349	157	11	58.58
168	2790	7	65.14
107	491	15	40.8
346	455	6	44.88
2818	103	5	10.67
101	8923	3	7.99
8524	352	3	38.73
101	8772	3	7.99
7983	9936	3	63.56
4008	14	10	42.46
120	218	9	15.27
119	582	18	95.02
1767	110	3	9.36
269	1904	3	25.49
2039	224	6	57.55
2615	122	11	88.22
1944	485	3	29.94
168	131	8	9.56
246	4243	5	56.11
216	159	5	12.45
246	2665	3	26.78
3822	101	5	7.61
101	2939	5	5.36
7887	1000	4	63.71
162	789	3	13.65
102	208	411	2095.8
191	1475	12	115.89
103	4157	4	10.16
761	110	4	7.95
102	862	30	78.64
791	3375	8	117.02
962	106	6	11.9
190	4782	3	28.13
124	665	3	7.33
1418	190	4	28.59
318	177	7	32.69
101	1987	19	56.01
103	300	22	13.13
6619	107	3	15.74
448	102	20	13.66
103	4230	3	5.92
482	317	16	151.64
385	5108	6	81.04
4209	178	4	37.35
3700	125	5	36.63
101	1133	35	102.64
4854	16	7	63.83
6659	102	3	7.41
425	107	12	24.04
1448	9	33	260.23
122	632	3	6.61
3369	2531	3	44.68
311	554	3	18.72
526	103	29	59.2
1784	910	4	46.72
101	2257	8	10.75
101	522	35	42.25
102	893	25	57.73
1213	8	3	6.1
6350	101	3	5.29
101	800	18	15.42
101	6374	3	5.29
1650	252	5	45.06
220	1717	3	22.72
311	2185	3	27.61
8587	104	3	15.4
10628	101	3	9.43
224	136	4	5.33
101	1166	13	12.61
162	1208	3	16.45
101	6130	3	4.68
101	3807	4	4.52
101	1942	27	106.31
583	250	6	42.34
190	1908	5	41.32
158	370	4	14.02
278	130	4	6.42
4082	9	7	45.98
9784	1143	3	47.51
10804	1	3	41.7
610	145	3	9.73
368	117	24	107.55
7082	749	4	59.65
