6174	23078	11
172	679	4
842	27308	12
5720	16155	3
193	3968	31
102	27429	8
52955	2527	1
5865	7931	14
1219	3122	5
5429	28218	12
881	11791	38
103	5532	15
109	22400	28
186	25985	1
521	5919	12
14204	8130	5
1734	28518	39
1818	24773	0
24791	20606	5
142	14738	1
947	6930	26
168	14192	16
139	26442	10
14726	6136	8
170	5549	23
45224	276	6
7823	11592	20
5280	29695	16
153	19854	24
108	21620	14
102	9523	13
137	17522	17
101	12285	11
344	29444	31
101	24759	41
14	10885	29
5295	22248	6
109	8125	7
16013	17779	10
9288	18396	24
2613	4989	5
8	7358	23
2	27612	6
75348	2571	44
245	7716	10
40895	6336	11
368	19552	9
1631	5427	7
119	10932	2
285	10589	1
192	292	17
110	19920	12
14	23103	14
109	24288	15
17706	12636	20
48216	15407	11
4702	8664	5
14	7944	14
4396	20235	5
1314	29154	3
102	5781	0
11182	17090	10
2616	7555	12
104	28733	1
178	27652	3
5209	27680	19
113	11314	25
177	22900	13
14	10436	11
104	27509	16
102	11702	2
4089	23560	0
420	9791	4
103	17741	15
249	20042	28
987	9548	19
3306	13424	7
7208	5502	13
626	14219	4
71235	6506	13
8	16390	6
102	2353	15
12136	1089	4
14	5870	11
109	16408	39
111	15309	8
14	11238	23
114	15392	6
107	18843	8
16647	14325	24
111	8544	5
16	639	1
16815	23697	3
139	11949	32
488	4669	35
425	14305	20
36387	2666	0
2353	11373	26
2147	27701	2
21737	13208	11
101	22340	1
35757	4014	4
121	13501	5
1902	27566	13
3820	12862	16
158	16704	19
114	27006	18
1874	11966	14
161	3130	10
12484	28972	29
57978	16942	21
101	4911	38
2571	1116	2
101	24712	4
137	4522	19
46293	1013	7
101	18221	21
18862	20411	21
102	6908	17
103	21922	13
208	29070	17
101	91	3
101	6902	14
6945	3788	0
102	1951	30
107	27569	13
683	4561	2
254	28415	32
866	10789	37
10375	13584	9
104	27635	6
1755	28308	11
107	23475	10
133	22733	2
101	29344	6
3831	26048	16
2230	29513	8
852	5090	9
918	17727	19
121	14076	19
125	22416	15
2087	24240	6
35410	23556	10
709	2244	26
232	340	11
3000	27731	30
234	29442	11
1064	21810	26
42673	21042	1
101	21294	9
146	23378	8
21732	23413	6
2918	2362	6
106	12532	1
2300	21425	3
42399	18931	5
182	18649	9
17093	4493	6
14	5536	13
128	2282	17
509	5147	30
1494	21022	1
8242	15361	11
1277	24817	7
5512	15634	31
35717	7861	24
1726	10237	9
112	1746	5
104	20538	8
103	26688	29
3291	14488	2
7051	3154	10
14805	21228	34
7562	7630	28
66546	12941	35
1731	29743	25
144	15442	3
102	11249	6
182	10913	20
